2003, 35.0, 23.0, -26.6847
2527, 35.0, 23.0, -35.4362
3052, 36.0, 22.0, -34.3407
3580, 35.0, 23.0, -35.0099
4104, 36.0, 22.0, -33.9663
4628, 35.0, 23.0, -35.9301
5153, 35.0, 23.0, -34.4124
5681, 36.0, 22.0, -34.4124
6205, 35.0, 23.0, -35.1533
6729, 36.0, 22.0, -35.0577
7258, 36.0, 22.0, -35.0179
7782, 35.0, 23.0, -34.5797
8306, 35.0, 23.0, -35.2211
8831, 36.0, 22.0, -34.4284
9359, 35.0, 23.0, -35.3087
9885, 35.0, 23.0, -34.5399
10407, 36.0, 22.0, -35.1892
10936, 35.0, 23.0, -34.4523
11460, 35.0, 23.0, -35.4362
11984, 35.0, 23.0, -33.9225
12509, 35.0, 23.0, -35.6991
13037, 36.0, 22.0, -35.4441
13561, 35.0, 23.0, -35.3844
14085, 35.0, 23.0, -34.2491
14614, 35.0, 23.0, -35.1892
15138, 35.0, 23.0, -34.6634
